"x","yhat"
39.9,0.319124401139167
40.326,0.334085676052299
40.752,0.348892281582644
41.178,0.363542113806124
41.604,0.37803306879866
42.03,0.392363042636172
42.456,0.406529931394582
42.882,0.42053163114981
43.308,0.434366037977778
43.734,0.448031047954406
44.16,0.461524557155615
44.586,0.474844461657326
45.012,0.48798865753546
45.438,0.500955040865937
45.864,0.51374150772468
46.29,0.526345954187608
46.716,0.538766276330643
47.142,0.551000370229705
47.568,0.563046131960716
47.994,0.574901457599596
48.42,0.586564243222266
48.846,0.598032384904648
49.272,0.609303778722661
49.698,0.620376320752228
50.124,0.631247907069268
50.55,0.641916433749703
50.976,0.652379796869454
51.402,0.662635892504442
51.828,0.672682616730586
52.254,0.682956298951026
52.68,0.694142129840074
53.106,0.706031771808012
53.532,0.718397677078963
53.958,0.731012297877048
54.384,0.743648086426389
54.81,0.756077494951107
55.236,0.768072975675323
55.662,0.778595433212026
56.088,0.786704459764433
56.514,0.793366455081725
56.94,0.799577789263253
57.366,0.806334832408373
57.792,0.814633954616437
58.218,0.824028794246447
58.644,0.83190150052989
59.07,0.838994186781778
59.496,0.846214424880567
59.922,0.854469786704712
60.348,0.864667844132669
60.774,0.878071761874211
61.2,0.897573041327049
61.626,0.921471337690127
62.052,0.947112737014443
62.478,0.971843325350986
62.904,0.993009188750753
63.33,1.00795641326474
63.756,1.0144538880793
64.182,1.0155422200777
64.608,1.01306759890974
65.034,1.00784170626409
65.46,1.00067622382945
65.886,0.992382833294492
66.312,0.983773216347907
66.738,0.975659054678379
67.164,0.968852029974592
67.59,0.962381429145468
68.016,0.954351442565474
68.442,0.945147302495409
68.868,0.9351689383812
69.294,0.924816279668776
69.72,0.914489255804064
70.146,0.90458779623299
70.572,0.895511830401481
70.998,0.887661287755467
71.424,0.881436097740872
71.85,0.876553548682013
72.276,0.871888352788153
72.702,0.867417115109102
73.128,0.863146542009301
73.554,0.859083339853191
73.98,0.855234215005214
74.406,0.85160587382981
74.832,0.848205022691422
75.258,0.845038367954489
75.684,0.842112615983453
76.11,0.839434473142755
76.536,0.837010645796836
76.962,0.834847840310137
77.388,0.8329527630471
77.814,0.831332120372165
78.24,0.829992618649774
78.666,0.828940964244368
79.092,0.828183863520387
79.518,0.827728022842274
79.944,0.827580148574468
80.37,0.827746947081411
80.796,0.828235124727545
81.222,0.82905138787731
81.648,0.830202442895148
82.074,0.831694996145499
82.5,0.833535753992805
